Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|A2AMM0|CAVN4_MOUSE	A2AMM0	CAVN4_MOUSE	Cavin4	362	Mus musculus	Caveolae-associated protein 4	1:Experimental evidence at protein level	44.48	1.0000	0.9990	11	11	11	22	22	22	     0	     0	     0	10C(57.0214)		
sp|A2APY7|NDUF5_MOUSE	A2APY7	NDUF5_MOUSE	Ndufaf5	343	Mus musculus	Arginine-hydroxylase NDUFAF5, mitochondrial	1:Experimental evidence at protein level	7.00	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	10C(57.0214)		
sp|A2AQ07|TBB1_MOUSE	A2AQ07	TBB1_MOUSE	Tubb1	451	Mus musculus	Tubulin beta-1 chain	1:Experimental evidence at protein level	6.43	1.0000	0.9990	4	0	0	13	0	0	     0	     0	     0			
sp|A2AQP0|MYH7B_MOUSE	A2AQP0	MYH7B_MOUSE	Myh7b	1941	Mus musculus	Myosin-7B	3:Protein inferred from homology	5.67	1.0000	0.9971	15	2	2	54	2	2	     0	     0	     0	5M(15.9949)		
sp|A2ASS6-3|TITIN_MOUSE	A2ASS6-3	TITIN_MOUSE	Ttn	5508	Mus musculus	Isoform 3 of Titin		6.21	1.0000	0.9990	25	1	1	54	1	1	     0	     0	     0	10C(57.0214)		
sp|A2AUC9|KLH41_MOUSE	A2AUC9	KLH41_MOUSE	Klhl41	606	Mus musculus	Kelch-like protein 41	1:Experimental evidence at protein level	46.53	1.0000	0.9990	24	24	24	40	40	40	     0	     0	     0	10C(57.0214), 13C(57.0214), 15C(57.0214), 4M(15.9949), 5C(57.0214), 6C(57.0214), 7C(57.0214), 8C(57.0214)		
sp|A3KFX0|5NT1A_MOUSE	A3KFX0	5NT1A_MOUSE	Nt5c1a	365	Mus musculus	Cytosolic 5'-nucleotidase 1A	1:Experimental evidence at protein level	24.11	1.0000	0.9990	6	6	6	6	6	6	     0	     0	     0			
sp|A3KG59|P20D2_MOUSE	A3KG59	P20D2_MOUSE	Pm20d2	431	Mus musculus	Xaa-Arg dipeptidase	1:Experimental evidence at protein level	4.64	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
sp|A6X935|ITIH4_MOUSE	A6X935	ITIH4_MOUSE	Itih4	942	Mus musculus	Inter alpha-trypsin inhibitor, heavy chain 4	1:Experimental evidence at protein level	10.51	1.0000	0.9990	7	0	7	11	0	11	     0	     0	     0			
sp|B1AR13|CISD3_MOUSE	B1AR13	CISD3_MOUSE	Cisd3	137	Mus musculus	CDGSH iron-sulfur domain-containing protein 3, mitochondrial	1:Experimental evidence at protein level	9.49	1.0000	0.9990	1	0	1	1	0	1	     0	     0	     0	5C(57.0214)		tr|B2RWE3|B2RWE3_MOUSE, tr|Z4YKM2|Z4YKM2_MOUSE
